"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\README.md", "Markdown", 33, 0, 0, 23, 56
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\NOTE.md", "Markdown", 2, 0, 0, 1, 3
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\README.md", "Markdown", 87, 0, 0, 54, 141
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_abstractions.md", "Markdown", 0, 0, 0, 1, 1
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_blocks.md", "Markdown", 0, 0, 0, 1, 1
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_flowcharts.md", "Markdown", 0, 0, 0, 1, 1
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_sequences.md", "Markdown", 0, 0, 0, 1, 1
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_state_models.md", "Markdown", 0, 0, 0, 1, 1
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\include\indication\indication_.hpp", "C++", 0, 91, 8, 37, 136
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\include\indication\indication_defs.hpp", "C++", 0, 6, 0, 3, 9
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\include\indication\indication_enums.hpp", "C++", 0, 80, 3, 12, 95
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_.cpp", "C++", 0, 70, 12, 21, 103
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_diagnostics.cpp", "C++", 0, 8, 1, 2, 11
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_led_strip.cpp", "C++", 0, 98, 2, 24, 124
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_logging.cpp", "C++", 0, 57, 7, 14, 78
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_nvs.cpp", "C++", 0, 277, 7, 40, 324
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_run.cpp", "C++", 0, 541, 27, 121, 689
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_utilities.cpp", "C++", 0, 17, 1, 2, 20
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\README.md", "Markdown", 5, 0, 0, 4, 9
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\docs\nvs_abstractions.md", "Markdown", 17, 0, 0, 4, 21
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\docs\nvs_blocks.md", "Markdown", 1, 0, 0, 0, 1
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\docs\nvs_sequences.md", "Markdown", 1, 0, 0, 0, 1
