Date : 2024-01-15 23:52:02
Directory : c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2
Total : 71 files,  5503 codes, 533 comments, 1293 blanks, all 7329 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         46 |      5,267 |        533 |      1,156 |      6,956 |
| Markdown |         25 |        236 |          0 |        137 |        373 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |         71 |      5,503 |        533 |      1,293 |      7,329 |
| . (Files)                                                                                                                            |          2 |         38 |          0 |         25 |         63 |
| components                                                                                                                           |         47 |      4,167 |        355 |        951 |      5,473 |
| components (Files)                                                                                                                   |          1 |          2 |          0 |          1 |          3 |
| components\indication_ws2812_5.2                                                                                                     |         16 |      1,332 |         68 |        335 |      1,735 |
| components\indication_ws2812_5.2 (Files)                                                                                             |          1 |         87 |          0 |         54 |        141 |
| components\indication_ws2812_5.2\docs                                                                                                |          5 |          0 |          0 |          5 |          5 |
| components\indication_ws2812_5.2\include                                                                                             |          3 |        177 |         11 |         52 |        240 |
| components\indication_ws2812_5.2\include\indication                                                                                  |          3 |        177 |         11 |         52 |        240 |
| components\indication_ws2812_5.2\src                                                                                                 |          7 |      1,068 |         57 |        224 |      1,349 |
| components\indication_ws2812_5.2\src\indication                                                                                      |          7 |      1,068 |         57 |        224 |      1,349 |
| components\nvs                                                                                                                       |         10 |        567 |         65 |        124 |        756 |
| components\nvs (Files)                                                                                                               |          1 |          5 |          0 |          4 |          9 |
| components\nvs\docs                                                                                                                  |          4 |         20 |          0 |          4 |         24 |
| components\nvs\include                                                                                                               |          2 |         55 |         11 |         18 |         84 |
| components\nvs\include\nvs                                                                                                           |          2 |         55 |         11 |         18 |         84 |
| components\nvs\src                                                                                                                   |          3 |        487 |         54 |         98 |        639 |
| components\nvs\src\nvs                                                                                                               |          3 |        487 |         54 |         98 |        639 |
| components\wifi_5.2                                                                                                                  |         20 |      2,266 |        222 |        491 |      2,979 |
| components\wifi_5.2 (Files)                                                                                                          |          1 |          4 |          0 |          2 |          6 |
| components\wifi_5.2\include                                                                                                          |          6 |        311 |         32 |         82 |        425 |
| components\wifi_5.2\include\sntp                                                                                                     |          3 |         83 |         11 |         28 |        122 |
| components\wifi_5.2\include\wifi                                                                                                     |          3 |        228 |         21 |         54 |        303 |
| components\wifi_5.2\src                                                                                                              |         13 |      1,951 |        190 |        407 |      2,548 |
| components\wifi_5.2\src\sntp                                                                                                         |          6 |        441 |         43 |        103 |        587 |
| components\wifi_5.2\src\wifi                                                                                                         |          7 |      1,510 |        147 |        304 |      1,961 |
| docs                                                                                                                                 |          5 |         52 |          0 |         29 |         81 |
| main                                                                                                                                 |         17 |      1,246 |        178 |        288 |      1,712 |
| main (Files)                                                                                                                         |          9 |      1,019 |        148 |        220 |      1,387 |
| main\docs                                                                                                                            |          5 |         28 |          0 |         13 |         41 |
| main\include                                                                                                                         |          3 |        199 |         30 |         55 |        284 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                             | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\README.md                                                                  | Markdown |         33 |          0 |         23 |         56 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\NOTE.md                                                         | Markdown |          2 |          0 |          1 |          3 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\README.md                                 | Markdown |         87 |          0 |         54 |        141 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_abstractions.md                  | Markdown |          0 |          0 |          1 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_blocks.md                        | Markdown |          0 |          0 |          1 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_flowcharts.md                    | Markdown |          0 |          0 |          1 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_sequences.md                     | Markdown |          0 |          0 |          1 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\docs\ind_state_models.md                  | Markdown |          0 |          0 |          1 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\include\indication\indication_.hpp        | C++      |         91 |          8 |         37 |        136 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\include\indication\indication_defs.hpp    | C++      |          6 |          0 |          3 |          9 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\include\indication\indication_enums.hpp   | C++      |         80 |          3 |         12 |         95 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_.cpp            | C++      |         70 |         12 |         21 |        103 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_diagnostics.cpp | C++      |          8 |          1 |          2 |         11 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_led_strip.cpp   | C++      |         98 |          2 |         24 |        124 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_logging.cpp     | C++      |         57 |          7 |         14 |         78 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_nvs.cpp         | C++      |        277 |          7 |         40 |        324 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_run.cpp         | C++      |        541 |         27 |        121 |        689 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\indication_ws2812_5.2\src\indication\indication_utilities.cpp   | C++      |         17 |          1 |          2 |         20 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\README.md                                                   | Markdown |          5 |          0 |          4 |          9 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\docs\nvs_abstractions.md                                    | Markdown |         17 |          0 |          4 |         21 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\docs\nvs_blocks.md                                          | Markdown |          1 |          0 |          0 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\docs\nvs_sequences.md                                       | Markdown |          1 |          0 |          0 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\docs\nvs_state_models.md                                    | Markdown |          1 |          0 |          0 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\include\nvs\nvs_.hpp                                        | C++      |         53 |         11 |         17 |         81 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\include\nvs\nvs_enums.hpp                                   | C++      |          2 |          0 |          1 |          3 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\src\nvs\nvs_.cpp                                            | C++      |        434 |         52 |         88 |        574 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\src\nvs\nvs_diagnostics.cpp                                 | C++      |          5 |          1 |          1 |          7 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\nvs\src\nvs\nvs_logging.cpp                                     | C++      |         48 |          1 |          9 |         58 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\README.md                                              | Markdown |          4 |          0 |          2 |          6 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\include\sntp\sntp_.hpp                                 | C++      |         55 |          8 |         22 |         85 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\include\sntp\sntp_defs.hpp                             | C++      |          4 |          2 |          2 |          8 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\include\sntp\sntp_enums.hpp                            | C++      |         24 |          1 |          4 |         29 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\include\wifi\wifi_.hpp                                 | C++      |         89 |         12 |         35 |        136 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\include\wifi\wifi_defs.hpp                             | C++      |         36 |          4 |          7 |         47 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\include\wifi\wifi_enums.hpp                            | C++      |        103 |          5 |         12 |        120 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\sntp\sntp_.cpp                                     | C++      |         55 |          7 |         14 |         76 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\sntp\sntp_events.cpp                               | C++      |         12 |          6 |          4 |         22 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\sntp\sntp_logging.cpp                              | C++      |         57 |          1 |         12 |         70 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\sntp\sntp_nvs.cpp                                  | C++      |        128 |          8 |         23 |        159 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\sntp\sntp_run.cpp                                  | C++      |        159 |         20 |         45 |        224 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\sntp\sntp_utilities.cpp                            | C++      |         30 |          1 |          5 |         36 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_.cpp                                     | C++      |        122 |         26 |         36 |        184 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_diagnostic.cpp                           | C++      |          9 |          1 |          2 |         12 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_events.cpp                               | C++      |         94 |         13 |         17 |        124 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_logging.cpp                              | C++      |         57 |          1 |         12 |         70 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_nvs.cpp                                  | C++      |        209 |          7 |         31 |        247 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_run.cpp                                  | C++      |        989 |         98 |        202 |      1,289 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_utilities.cpp                            | C++      |         30 |          1 |          4 |         35 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_abstractions.md                                               | Markdown |          4 |          0 |          2 |          6 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_blocks.md                                                     | Markdown |         39 |          0 |         20 |         59 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_flowcharts.md                                                 | Markdown |          0 |          0 |          1 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_sequences.md                                                  | Markdown |          6 |          0 |          4 |         10 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_state_models.md                                               | Markdown |          3 |          0 |          2 |          5 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\git_notes.md                                                               | Markdown |          5 |          0 |          2 |          7 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\docs\system_abstractions.md                                           | Markdown |         25 |          0 |         11 |         36 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\docs\system_blocks.md                                                 | Markdown |          1 |          0 |          0 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\docs\system_flowcharts.md                                             | Markdown |          1 |          0 |          0 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\docs\system_sequences.md                                              | Markdown |          1 |          0 |          1 |          2 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\docs\system_state_models.md                                           | Markdown |          0 |          0 |          1 |          1 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\include\system_.hpp                                                   | C++      |        113 |         11 |         36 |        160 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\include\system_defs.hpp                                               | C++      |         22 |          5 |          9 |         36 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\include\system_enums.hpp                                              | C++      |         64 |         14 |         10 |         88 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\main.cpp                                                              | C++      |          5 |          1 |          3 |          9 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\system_.cpp                                                           | C++      |         67 |         11 |         21 |         99 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\system_diagnostics.cpp                                                | C++      |        104 |         24 |         24 |        152 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\system_gpio.cpp                                                       | C++      |        111 |         58 |         31 |        200 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\system_logging.cpp                                                    | C++      |         56 |          2 |         12 |         70 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\system_nvs.cpp                                                        | C++      |        189 |         10 |         35 |        234 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\system_run.cpp                                                        | C++      |        253 |          8 |         49 |        310 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\system_timer.cpp                                                      | C++      |        151 |         33 |         31 |        215 |
| c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\system_utilities.cpp                                                  | C++      |         83 |          1 |         14 |         98 |
| Total                                                                                                                                |          |      5,503 |        533 |      1,293 |      7,329 |
+--------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
